order_id,customer_name,product,quantity,unit_price,total_amount,order_date,delivery_date,status,supplier,region,priority
ORD-2023-0098,Heartland Motors Inc,Connecting Rod Forgings,400,62.00,24800.00,2023-10-18,2023-10-28,delivered,PrimeSource Industrial,Central,high
ORD-2023-0099,Pacific Rim Electronics,Circuit Board Assemblies,800,55.00,44000.00,2023-10-20,2023-11-08,delayed,Apex Materials,West,critical
ORD-2023-0100,Midwest Manufacturing Corp,Galvanized Steel Coils,300,45.00,13500.00,2023-10-22,2023-10-29,delivered,GlobalTech Supply,North,standard
ORD-2023-0101,Delta Aerospace Components,Hastelloy C-276 Sheet,25,1100.00,27500.00,2023-11-01,2023-11-12,delivered,Atlas Raw Materials,East,critical
ORD-2023-0102,Precision Dynamics LLC,CNC Spindle Bearings,500,45.00,22500.00,2023-11-03,2023-11-22,delayed,Apex Materials,Central,critical
ORD-2023-0103,Summit Engineering Group,Variable Frequency Drives,80,780.00,62400.00,2023-11-05,2023-11-15,delivered,Zenith Components,South,high
ORD-2023-0104,Great Lakes Automotive,Wheel Hub Bearings,900,32.00,28800.00,2023-11-08,2023-11-18,delivered,PrimeSource Industrial,East,standard
ORD-2023-0105,Titan Industrial Solutions,Programmable Logic Controllers,35,1350.00,47250.00,2023-11-10,2023-11-22,delivered,Zenith Components,West,critical
ORD-2023-0106,Northwind Fabricators,Copper Pipe Type L,1500,5.80,8700.00,2023-11-12,2023-11-30,delayed,Apex Materials,North,standard
ORD-2023-0107,Cascade Precision Parts,Stainless Steel Fasteners,6000,0.85,5100.00,2023-11-15,2023-11-22,delivered,GlobalTech Supply,West,low
ORD-2023-0108,Heartland Motors Inc,Transmission Gears Set,250,145.00,36250.00,2023-11-18,2023-11-28,delivered,PrimeSource Industrial,Central,high
ORD-2023-0109,Pacific Rim Electronics,Power Supply Units 24V,700,42.00,29400.00,2023-11-20,2023-12-08,delayed,Apex Materials,West,high
ORD-2023-0110,Midwest Manufacturing Corp,Structural I-Beams,150,155.00,23250.00,2023-11-22,2023-11-29,delivered,GlobalTech Supply,North,standard
ORD-2023-0111,Delta Aerospace Components,Monel 400 Round Bar,50,780.00,39000.00,2023-12-01,2023-12-12,delivered,Atlas Raw Materials,East,high
ORD-2023-0112,Precision Dynamics LLC,Linear Guide Rails,250,78.00,19500.00,2023-12-03,2023-12-20,delayed,Apex Materials,Central,high
ORD-2023-0113,Summit Engineering Group,AC Servo Drives,85,920.00,78200.00,2023-12-05,2023-12-15,delivered,Zenith Components,South,high
ORD-2023-0114,Great Lakes Automotive,Control Arm Castings,400,42.00,16800.00,2023-12-08,2023-12-18,delivered,PrimeSource Industrial,East,standard
ORD-2023-0115,Titan Industrial Solutions,Industrial Ethernet Switches,40,560.00,22400.00,2023-12-10,2023-12-20,delivered,Zenith Components,West,standard
ORD-2023-0116,Northwind Fabricators,Aluminum Sheets 6061-T6,700,22.00,15400.00,2023-12-12,2023-12-30,delayed,Apex Materials,North,high
ORD-2023-0117,Cascade Precision Parts,Precision Reamers HSS,200,28.00,5600.00,2023-12-15,2023-12-22,delivered,GlobalTech Supply,West,low
ORD-2023-0118,Heartland Motors Inc,Drive Shaft Assemblies,150,275.00,41250.00,2023-12-18,2023-12-28,delivered,PrimeSource Industrial,Central,high
ORD-2023-0119,Pacific Rim Electronics,Capacitor Banks 100uF,8000,2.20,17600.00,2023-12-20,2024-01-08,delayed,Apex Materials,West,standard
ORD-2023-0120,Midwest Manufacturing Corp,Tool Steel D2 Bars,200,65.00,13000.00,2023-12-22,2023-12-29,delivered,GlobalTech Supply,North,standard
ORD-2024-0001,Delta Aerospace Components,Titanium Alloy Plates,80,485.00,38800.00,2024-01-05,2024-01-16,delivered,Atlas Raw Materials,East,critical
ORD-2024-0002,Precision Dynamics LLC,CNC Spindle Bearings,600,45.00,27000.00,2024-01-08,2024-01-28,delayed,Apex Materials,Central,critical
ORD-2024-0003,Great Lakes Automotive,Hydraulic Cylinders,100,320.00,32000.00,2024-01-10,2024-01-20,delivered,PrimeSource Industrial,East,standard
ORD-2024-0004,Summit Engineering Group,Copper Wire Spools 14AWG,1500,8.75,13125.00,2024-01-12,2024-01-19,delivered,Atlas Raw Materials,South,standard
ORD-2024-0005,Titan Industrial Solutions,PLC Controllers Model X,60,1250.00,75000.00,2024-01-15,2024-01-25,delivered,Zenith Components,West,critical
ORD-2024-0006,Northwind Fabricators,Stainless Steel Tubing,2500,6.50,16250.00,2024-01-18,2024-02-05,delayed,Apex Materials,North,high
ORD-2024-0007,Cascade Precision Parts,Grinding Wheels CBN,150,85.00,12750.00,2024-01-20,2024-01-27,delivered,GlobalTech Supply,West,standard
ORD-2024-0008,Heartland Motors Inc,Camshaft Forgings,120,220.00,26400.00,2024-01-22,2024-02-01,delivered,PrimeSource Industrial,Central,high
ORD-2024-0009,Pacific Rim Electronics,Microcontroller Units ARM,4000,8.50,34000.00,2024-01-25,2024-02-12,delayed,Apex Materials,West,critical
ORD-2024-0010,Midwest Manufacturing Corp,Steel Rods Grade A,1200,12.50,15000.00,2024-01-28,2024-02-04,delivered,GlobalTech Supply,North,standard
ORD-2024-0011,Precision Dynamics LLC,Ball Screw Assemblies,200,165.00,33000.00,2024-02-01,2024-02-18,delayed,Apex Materials,Central,high
ORD-2024-0012,Great Lakes Automotive,Disc Brake Calipers,500,52.00,26000.00,2024-02-03,2024-02-13,delivered,PrimeSource Industrial,East,standard
ORD-2024-0013,Summit Engineering Group,Encoder Rotary Absolute,120,340.00,40800.00,2024-02-05,2024-02-15,delivered,Zenith Components,South,high
ORD-2024-0014,Titan Industrial Solutions,Safety Light Curtains,25,1450.00,36250.00,2024-02-08,2024-02-20,delivered,Zenith Components,West,high
ORD-2024-0015,Northwind Fabricators,Welding Wire ER70S-6,4000,3.50,14000.00,2024-02-10,2024-02-28,delayed,Apex Materials,North,standard
ORD-2024-0016,Midwest Manufacturing Corp,Carbon Steel Plates,600,18.00,10800.00,2024-02-12,2024-02-19,delivered,GlobalTech Supply,North,standard
ORD-2024-0017,Heartland Motors Inc,Flywheel Assemblies,200,195.00,39000.00,2024-02-15,2024-02-25,delivered,PrimeSource Industrial,Central,high
ORD-2024-0018,Pacific Rim Electronics,Circuit Board Assemblies,1000,55.00,55000.00,2024-02-18,2024-03-08,delayed,Apex Materials,West,critical
ORD-2024-0019,Delta Aerospace Components,Inconel 718 Bar Stock,45,920.00,41400.00,2024-02-20,2024-03-03,delivered,Atlas Raw Materials,East,critical
ORD-2024-0020,Cascade Precision Parts,Precision Ball Bearings,1200,28.00,33600.00,2024-02-22,2024-03-01,delivered,GlobalTech Supply,West,high
ORD-2024-0021,Precision Dynamics LLC,CNC Spindle Bearings,450,45.00,20250.00,2024-03-01,2024-03-20,delayed,Apex Materials,Central,critical
ORD-2024-0022,Great Lakes Automotive,Steering Knuckle Forgings,250,68.00,17000.00,2024-03-03,2024-03-13,delivered,PrimeSource Industrial,East,standard
ORD-2024-0023,Summit Engineering Group,Industrial Servo Motors,130,650.00,84500.00,2024-03-05,2024-03-15,delivered,Zenith Components,South,high
ORD-2024-0024,Titan Industrial Solutions,HMI Operator Panels,30,1100.00,33000.00,2024-03-08,2024-03-20,delivered,Zenith Components,West,high
ORD-2024-0025,Northwind Fabricators,Aluminum Sheets 6061-T6,800,22.00,17600.00,2024-03-10,2024-03-28,delayed,Apex Materials,North,high
ORD-2024-0026,Heartland Motors Inc,Piston Ring Sets,600,18.00,10800.00,2024-03-12,2024-03-22,delivered,PrimeSource Industrial,Central,standard
ORD-2024-0027,Pacific Rim Electronics,Power Supply Units 24V,900,42.00,37800.00,2024-03-15,2024-04-02,delayed,Apex Materials,West,high
ORD-2024-0028,Midwest Manufacturing Corp,Angle Iron Structural,1000,7.50,7500.00,2024-03-18,2024-03-25,delivered,GlobalTech Supply,North,standard
ORD-2024-0029,Delta Aerospace Components,Waspaloy Forgings,20,2200.00,44000.00,2024-03-20,2024-04-02,delivered,Atlas Raw Materials,East,critical
ORD-2024-0030,Cascade Precision Parts,Carbide End Mills,300,35.00,10500.00,2024-03-22,2024-03-29,delivered,GlobalTech Supply,West,standard
ORD-2024-0031,Precision Dynamics LLC,Linear Guide Rails,350,78.00,27300.00,2024-04-01,2024-04-18,delayed,Apex Materials,Central,high
ORD-2024-0032,Great Lakes Automotive,Brake Rotor Castings,800,35.00,28000.00,2024-04-03,2024-04-13,delivered,PrimeSource Industrial,East,standard
ORD-2024-0033,Summit Engineering Group,Programmable Logic Controllers,50,1350.00,67500.00,2024-04-05,2024-04-15,delivered,Zenith Components,South,critical
ORD-2024-0034,Titan Industrial Solutions,Vision Inspection Cameras,20,2800.00,56000.00,2024-04-08,2024-04-20,delivered,Zenith Components,West,critical
ORD-2024-0035,Northwind Fabricators,Copper Pipe Type L,2000,5.80,11600.00,2024-04-10,2024-04-28,delayed,Apex Materials,North,standard
ORD-2024-0036,Midwest Manufacturing Corp,Steel Rods Grade A,1500,12.50,18750.00,2024-04-12,2024-04-19,delivered,GlobalTech Supply,North,standard
ORD-2024-0037,Heartland Motors Inc,Transmission Gears Set,300,145.00,43500.00,2024-04-15,2024-04-25,delivered,PrimeSource Industrial,Central,high
ORD-2024-0038,Pacific Rim Electronics,Relay Modules 24V,2000,12.00,24000.00,2024-04-18,2024-05-05,cancelled,Apex Materials,West,standard
ORD-2024-0039,Delta Aerospace Components,Titanium Alloy Plates,90,485.00,43650.00,2024-04-20,2024-05-02,delivered,Atlas Raw Materials,East,critical
ORD-2024-0040,Cascade Precision Parts,Thread Gauges Go/NoGo,100,95.00,9500.00,2024-04-22,2024-04-29,delivered,GlobalTech Supply,West,standard
ORD-2024-0041,Precision Dynamics LLC,CNC Spindle Bearings,500,45.00,22500.00,2024-05-01,2024-05-20,pending,Apex Materials,Central,critical
ORD-2024-0042,Great Lakes Automotive,Suspension Springs,1500,14.00,21000.00,2024-05-03,2024-05-13,delivered,PrimeSource Industrial,East,standard
ORD-2024-0043,Summit Engineering Group,AC Servo Drives,95,920.00,87400.00,2024-05-05,2024-05-15,delivered,Zenith Components,South,high
ORD-2024-0044,Titan Industrial Solutions,Proximity Sensors,800,18.00,14400.00,2024-05-08,2024-05-18,delivered,Zenith Components,West,standard
ORD-2024-0045,Northwind Fabricators,Aluminum Extrusions 6063,1200,9.00,10800.00,2024-05-10,2024-05-28,pending,Apex Materials,North,standard
ORD-2024-0046,Heartland Motors Inc,Crankshaft Forgings,100,340.00,34000.00,2024-05-12,2024-05-22,delivered,PrimeSource Industrial,Central,high
ORD-2024-0047,Pacific Rim Electronics,Circuit Board Assemblies,1200,55.00,66000.00,2024-05-15,2024-06-02,pending,Apex Materials,West,critical
ORD-2024-0048,Midwest Manufacturing Corp,Galvanized Steel Coils,400,45.00,18000.00,2024-05-18,2024-05-25,delivered,GlobalTech Supply,North,standard
ORD-2024-0049,Delta Aerospace Components,Hastelloy C-276 Sheet,35,1100.00,38500.00,2024-05-20,2024-06-01,delivered,Atlas Raw Materials,East,critical
ORD-2024-0050,Cascade Precision Parts,Carbide Inserts CNMG,700,8.50,5950.00,2024-05-22,2024-05-29,delivered,GlobalTech Supply,West,standard
ORD-2024-0051,Precision Dynamics LLC,Ball Screw Assemblies,250,165.00,41250.00,2024-06-01,2024-06-18,cancelled,Apex Materials,Central,high
ORD-2024-0052,Great Lakes Automotive,Wheel Hub Bearings,1000,32.00,32000.00,2024-06-03,2024-06-13,delivered,PrimeSource Industrial,East,standard
ORD-2024-0053,Summit Engineering Group,Variable Frequency Drives,100,780.00,78000.00,2024-06-05,2024-06-15,delivered,Zenith Components,South,high
ORD-2024-0054,Titan Industrial Solutions,Temperature Sensors PT100,1200,15.00,18000.00,2024-06-08,2024-06-18,delivered,Zenith Components,West,standard
ORD-2024-0055,Northwind Fabricators,Stainless Steel Tubing,3000,6.50,19500.00,2024-06-10,2024-06-28,cancelled,Apex Materials,North,high
